temperatura_cabeza_F_diff,temperatura_cabeza_F,dosis_IC_ppm_diff,dosis_IC_ppm,agua_BAPD,mpy
11.583184920000008,111.2,100.0,100.0,800.744268,5.418632751
-7.200000000000003,104.0,-36.0802853,63.9197147,1204.8283,7.383169028
-6.7249485499999935,97.27505145,22.20025206,86.11996676,574.908516,6.843318803
4.482356149999987,101.7574076,-86.11996676,0.0,461.012162,15.22010576
-6.757407599999993,95.0,39.01238103,39.01238103,1065.35884,0.27
6.259169900000003,101.2591699,-6.890114599999997,32.12226643,920.88902,8.879727425
-4.69211734000001,96.56705256,6.244147909999995,38.36641434,1297.835066,15.22596374
7.432947440000007,104.0,-16.20844576,22.15796858,747.40008,1.174013238
9.0,113.0,12.84203142,35.0,501.664875,0.305162039
-5.400000000000006,107.6,-12.12217136,22.87782864,609.909375,2.408527438
-3.5999999999999943,104.0,57.12217136,80.0,793.796412,9.006531357
-9.0,95.0,-55.20321771,24.79678229,594.196086,0.94
9.0,104.0,31.023010180000004,55.81979247,1123.136342,15.41234566
-12.599999999999994,91.4,-17.527344240000005,38.29244823,1364.268763,6.563272274
-1.8000000000000114,89.6,41.70755177,80.0,1319.8122,6.465162847
14.400000000000006,104.0,-51.87189312,28.12810688,482.6906,1.057387801
0.0,104.0,4.518350690000002,32.64645757,782.90625,1.265301133
-14.400000000000006,89.6,-32.64645757,0.0,999.64676,6.40832091
10.800000000000011,100.4,0.0,0.0,966.35,1.723559088
-7.200000000000003,93.2,70.17846161,70.17846161,148.833277,0.831356308
5.482807100000002,98.6828071,-70.17846161,0.0,581.429555,15.00392707
5.317192899999995,104.0,90.0,90.0,661.54697,0.483844025
0.0,104.0,-5.0,85.0,990.48346,5.993683782
-2.307299700000001,101.6927003,-45.24783934,39.75216066,975.8477152,15.1471576
-3.5999999999999943,100.4,48.0,48.0,500.28645,1.13235057
-5.400000000000006,95.0,67.0,115.0,1500.0,12.13750218
-0.5400000000000063,94.46,-81.59679167,33.40320833,681.00227,0.093
0.5400000000000063,95.0,24.88471681,58.28792514,691.759296,15.37741711
0.0,95.0,56.71207486,115.0,1462.3076,7.497313296
0.0,95.0,-74.13639857999999,40.86360142,1169.910563,14.80589268
0.0,95.0,15.65410076,56.51770218,763.3052739,14.97742305
12.599999999999994,107.6,3.4822978199999994,60.0,396.38544,8.353334652
-14.399999999999991,93.2,-28.89676988,31.10323012,451.099306,0.870334877
10.799999999999995,104.0,-31.10323012,0.0,618.53674,6.059188523
-9.0,95.0,20.93005911,20.93005911,409.878,0.17
0.0,95.0,-16.691761013999997,4.238298096,237.168,0.09
0.0,95.0,22.371773594,26.61007169,311.2838,1.5
5.400000000000006,100.4,-0.2247890900000015,26.3852826,684.077084,1.01071338
14.399999999999991,114.8,-26.3852826,0.0,296.31879,0.717192329
-10.799999999999995,104.0,34.38526644,34.38526644,414.63765,5.030422558
-9.0,95.0,3.6854248100000007,38.07069125,916.87686,0.277
3.5999999999999943,98.6,-38.07069125,0.0,683.24697,6.483021787
-3.311369759999991,95.28863024,20.5769358,20.5769358,634.1181,0.291667386
0.0,104.0,0.0,0.0,861.8235384,15.32580124
3.5999999999999943,107.6,0.0,0.0,1286.36235,1.081701918
-15.049417489999996,92.55058251,35.58614574,35.58614574,1175.9145,1.479180305
20.44941749,113.0,41.946680410000006,77.53282615,822.6307376,15.63869695
-18.0,95.0,-42.82145278000001,34.71137337,1028.664,14.90424879
12.599999999999994,107.6,-20.23707928,14.47429409,165.760875,0.91373859
-6.296874699999989,101.3031253,-14.47429409,0.0,46.22594465,1.410416152
0.062644800000001,101.3657701,0.0,0.0,78.61779,5.633708741
2.634229899999994,104.0,100.0,100.0,598.05138,1.508820108
0.0,104.0,-40.0,60.0,674.029512,1.132452614
-7.503646619999998,96.49635338,-30.96688847,29.03311153,373.006569,5.955577228
7.503646619999998,104.0,-29.03311153,0.0,428.76219,5.14292099
-6.628691110000005,97.37130889,0.0,0.0,729.49032,9.491031435
3.028691110000011,100.4,60.0,60.0,402.84712,5.162329155
-4.164033310000008,96.23596669,-21.692478540000003,38.30752146,759.95569,9.572715441
4.185146709999998,100.4211134,11.692478540000003,50.0,589.80278,0.921783244
10.778886600000009,111.2,-14.181987409999998,35.81801259,552.1,12.79464251
-16.729275360000003,94.47072464,-10.610009400000004,25.20800319,546.875,5.906
22.12927536,116.6,54.543205240000006,79.75120843,453.23228,15.1604516
-21.599999999999994,95.0,-79.75120843,0.0,1069.01688,1.232204725
6.174673400000003,101.1746734,11.10713481,11.10713481,68.454036,0.33
2.825326599999997,104.0,33.65164525,44.75878006,1139.9214,6.472761939
9.0,113.0,45.24121994,90.0,1434.936932,5.706910121
3.5999999999999943,116.6,-65.42404929,24.57595071,0.0,1.141327966
-12.599999999999994,104.0,-24.57595071,0.0,1287.8592,15.7127396
-9.471454390000003,94.52854561,16.92719589,16.92719589,122.125328,1.1090553
-4.9285456100000005,89.6,72.19379749999999,89.12099339,494.23156,0.948465722
18.0,107.6,-65.52043146,23.60056193,198.074376,0.952746354
3.6000000000000085,111.2,6.816417899999998,30.41697983,840.51495,15.62872558
0.0,111.2,-1.100209289999999,29.31677054,1072.87191,0.555554753
-25.200000000000003,86.0,-29.31677054,0.0,46.504887,0.47285432
18.0,104.0,80.0,80.0,445.98939,0.646777082
3.5999999999999943,107.6,-70.4485036,9.5514964,428.861,1.164314657
-10.780818139999994,96.81918186,12.607910170000002,22.15940657,134.658823,0.222261201
-10.81918186,86.0,18.01023593,40.1696425,1926.2240962000003,0.57250421
3.5999999999999943,89.6,-10.169642500000002,30.0,330.34625,2.696084305
5.400000000000006,95.0,-30.0,0.0,498.714932,1.250450181
9.0,104.0,31.81549024,31.81549024,396.82141,0.557547179
18.0,122.0,-31.81549024,0.0,638.29356,5.896252361
-25.200000000000003,96.8,80.0,80.0,528.50811,7.450857759
-2.7582750699999963,94.04172493,-53.677915850000005,26.32208415,552.29073,14.74839325
7.205782869999993,101.2475078,73.67791585,100.0,808.618332,5.003285817
-1.620295519999999,99.62721228,-70.76596098,29.23403902,682.27302,1.095348284
-3.395991269999996,96.23122101,6.993366169999998,36.22740519,584.120859,8.147826449
-1.2312210099999987,95.0,2.422394660000002,38.64979985,1125.59598,9.148660782
-3.5999999999999943,91.4,-38.64979985,0.0,789.44143,10.03986903
12.599999999999994,104.0,28.09534763,28.09534763,1142.15625,0.411782149
-14.400000000000006,89.6,-28.09534763,0.0,404.8,1.13968381
5.400000000000006,95.0,45.81014936,45.81014936,1286.472,15.23306954
0.0,104.0,89.96905437,89.96905437,88.756272,5.087729023
-9.0,95.0,-89.96905437,0.0,180.4166,0.931046041
9.0,104.0,58.6847244,58.6847244,915.7958559,8.987966035
0.0,104.0,-31.90822701,26.77649739,86.264153,0.6076575
3.5999999999999943,107.6,-10.351072679999998,16.42542471,602.199105,0.828683136
-3.9409651999999937,103.6590348,7.326621629999998,23.75204634,341.1479072,2.8664639
-1.9172444000000013,101.7417904,10.04010778,33.79215412,392.745264,1.203548801
2.2582096000000007,104.0,2.4818531399999983,36.27400726,1207.15438,5.025562246
18.0,122.0,-36.27400726,0.0,912.090515,1.715921456
-27.0,95.0,40.94243998,40.94243998,0.0,0.90531405
15.296376699999996,103.0963767,-91.12167613,28.87832387,880.4895,6.289542971
-2.696376699999988,100.4,7.255314510000002,36.13363838,379.005494,1.362044479
0.0,100.4,-36.13363838,0.0,940.027899,15.3491679
-6.701548280000012,93.69845172,39.73720048,39.73720048,662.4087,14.1731548
1.8330064400000048,95.53145816,-6.140432669999996,33.59676781,589.3497,11.81397266
1.2685418399999977,96.8,-3.341943510000004,30.2548243,1363.6256,0.417523915
-0.1799999999999926,96.62,6.938364430000004,37.19318873,615.1671363,15.12460615
7.3799999999999955,104.0,12.806811269999995,50.0,584.037805,1.348923418
-9.0,95.0,-9.49189553,40.50810447,1191.2985,14.81399066
-2.3048642899999976,92.69513571,-8.200714820000002,32.30738965,1894.347,5.169201081
4.104864289999995,96.8,37.24501777,69.55240742,363.84,15.52145498
6.084048899999999,102.8840489,40.447592580000006,110.0,869.447502,15.55846134
-16.884048899999996,86.0,-50.0,60.0,171.827354,1.997051274
20.143275700000004,106.1432757,-60.0,0.0,94.9922079,1.986166356
-11.143275700000004,95.0,33.68994171,33.68994171,731.6235,14.79657816
0.0,95.0,-33.68994171,0.0,218.302,2.229910985
-4.140000000000001,90.86,38.86537816,38.86537816,460.5075,0.572
3.161542819999994,94.02154282,-17.184568239999997,21.68080992,46.22594465,0.395380701
13.57845718,107.6,68.31919008,90.0,470.164695,11.83158098
-5.684601799999996,101.9153982,-66.66666667,23.33333333,683.4051,1.708399545
2.084601800000001,104.0,106.66666667,130.0,1331.5172,15.44667785
-8.280000000000001,95.72,-98.82266813,31.17733187,1001.77903,14.85500521
4.680000000000007,100.4,-31.17733187,0.0,336.0066552,12.26094619
-6.70842497000001,93.69157503,29.88297236,29.88297236,701.65206,10.43138063
19.308424970000004,113.0,-29.88297236,0.0,178.04556,1.035364926
-18.24320147,94.75679853,31.16167218,31.16167218,1222.83755,3.796472187
9.243201470000002,104.0,24.70497574,55.86664792,623.78992,6.410859073
0.0,104.0,14.133352080000002,70.0,622.856952,5.155402
1.4957732999999962,105.4957733,-70.0,0.0,122.73492,1.275662262
2.104226699999998,107.6,30.7100956,30.7100956,1027.61032,6.069964098
-10.799999999999995,96.8,39.2899044,70.0,835.9858,15.38508761
7.200000000000003,104.0,15.421330580000005,85.42133058,1085.1867,9.688070514
-14.579999999999998,89.42,-71.85997883,13.56135175,315.6485,9.318
8.215187669999992,97.63518767,-13.56135175,0.0,46.22594465,1.321310438
9.96481233,107.6,74.66666667,74.66666667,321.812184,1.909408148
0.0,107.6,-4.666666669999998,70.0,496.53156,3.317340517
-12.599999999999994,95.0,-33.90740235,36.09259765,1175.9748,14.9641294
1.9971584200000048,96.99715842,-36.09259765,0.0,1452.70125,7.639923882
3.4028415800000005,100.4,110.0,110.0,113.50446,2.38641302
-7.200000000000003,93.2,-20.0,90.0,529.891875,2.696084305
28.8,122.0,-57.34322588,32.65677412,1069.38936,15.47150719
0.0,95.0,6.397469520000001,21.91234245,447.732327,1.643419291
